Cuenca/Litoral;Departamento;Municipio;Sitio desembarco;Especie;Nejempl_inf;Nejempl_sup;Peso_total_inf;Peso_total_sup;Valor_inf;Valor_sup;Valor_x_kg_inf;Valor_x_kg_sup;kg_x_ind_inf;kg_x_ind_sup
Amazonía;Amazonas;La Pedrera;La Pedrera;Arapaima gigas;5;10;22,925;229,45;144900;1665300;4187,098877;12968,50103;6,78650012;41,6
Amazonía;Amazonas;La Pedrera;La Pedrera;Astronotus ocellatus;5;10;9,379999733;43,35499988;46200;143325;2257,92699;6949,575928;0,201250006;0,594750004
Amazonía;Amazonas;La Pedrera;La Pedrera;Brachyplatystoma filamentosum;5;10;10,52800011;113,23;68040;782600;3800,001816;16653,61572;5,251400032;28,7560006
Amazonía;Amazonas;La Pedrera;La Pedrera;Brachyplatystoma juruense;5;10;7,923999853;78,78;25620;254085;2100;10202,90943;0,690199999;2,919800005
Amazonía;Amazonas;La Pedrera;La Pedrera;Brachyplatystoma platynemum;5;10;4,255999947;85,93;23800;395460;2100;10280,40254;1,022000027;9,809800129
Amazonía;Amazonas;La Pedrera;La Pedrera;Brachyplatystoma rousseauxii;5;10;9,121000013;119,9965019;68670;818545;4152,932126;13000;5,111050124;35,15850047
Amazonía;Amazonas;La Pedrera;La Pedrera;Brachyplatystoma tigrinum;5;10;7,77699986;35,73699952;57120;143520;2897,043746;9942,615963;1,528449978;6,43044988
Amazonía;Amazonas;La Pedrera;La Pedrera;Brachyplatystoma vaillantii;5;10;10,43000007;78,975;39375;357500;2100;10328,52904;0,614249988;2,68125
Amazonía;Amazonas;La Pedrera;La Pedrera;Brycon amazonicus;5;10;11,28400032;118,56;61320;694720;2100;10400;0,280000004;1,302600013
Amazonía;Amazonas;La Pedrera;La Pedrera;Brycon melanopterus;5;10;7,910000134;56,59550154;24990;307580;1909,998236;10339,6893;0,210000008;0,664949986
Amazonía;Amazonas;La Pedrera;La Pedrera;Calophysus macropterus;5;10;5,6;46,61799881;17640;230880;2100;8242,959385;0,378000003;1,882400002
Amazonía;Amazonas;La Pedrera;La Pedrera;Cichla monoculus;5;10;6,7549999;56,97249975;26775;249600;2096,837738;10210,44058;0,286999992;1,26099996
Amazonía;Amazonas;La Pedrera;La Pedrera;Colossoma macropomum;5;10;7,378000174;80,8469997;63000;619710;4131,960718;16579,46773;1,876000047;7,689500136
Amazonía;Amazonas;La Pedrera;La Pedrera;Crenicichla lenticulata;5;10;7,073500013;15,59350047;21210;46410;2083,514624;3898,388647;0,302749992;0,85475002
