Cuenca/Litoral;Departamento;Municipio;Sitio de desembarco;Método de pesca;Combu_inf;Combu_sup;Alqui_artes_inf;Alqui_artes_sup;Alqui_embar_inf;Alqui_embar_sup;Alimentacion_inf;Alimentacion_sup;Hielo_inf;Hielo_sup;Carnada_inf;Carnada_sup;Otros_inf;Otros_sup
Amazonía;Amazonas;La Pedrera;La Pedrera;Arpón;9520;141440;;;;;8820;98085;10500;130000;;;15400;54340
Amazonía;Amazonas;La Pedrera;La Pedrera;Atarraya;9520;65052;;;;;6440;29146;10500;19500;;;;
Amazonía;Amazonas;La Pedrera;La Pedrera;Línea de mano fija continental;9520;59124;;;;;6345,5;44785;10500;39000;;;;
Amazonía;Amazonas;La Pedrera;La Pedrera;Palangre calandrio;9520;117000;;;;;7140;88530;10500;130000;;;;
Amazonía;Amazonas;La Pedrera;La Pedrera;Red de enmalle de deriva continental;19040;181220;;;;;8400;120900;14000;195000;;;;
Amazonía;Amazonas;La Pedrera;La Pedrera;Red de enmalle fija continental;10500;141440;;;;;7770;110500;10500;130000;;;3622,5;22522,5
Amazonía;Amazonas;Leticia;Bodega AZAFRA;Palangre calandrio;3500;6500;700;1300;350;650;5600;10400;490;910;700;1300;700;1300
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Flecha;70000;130000;;;;;35000;65000;35000;65000;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Línea de mano fija continental;7000;26000;;;;;14000;26000;7000;13000;;;;
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Palangre calandrio;14000;130000;;;;;10850;65000;14000;94900;;;7840;66040
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Red de enmalle de deriva continental;14000;114400;;;;;10500;65000;10500;52000;;;7000;39000
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Red de enmalle fija continental;10500;116350;;;;;7000;65000;7000;74750;;;5250;52000
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Atarraya;11200;65000;;;;;4060;33800;2800;27560;21000;39000;;
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Línea de mano fija continental;10500;72800;;;;;4900;46800;3272,5;30225;21630;113100;;
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Palangre calandrio;10500;73060;;;;;3500;53365;2800;26000;7000;86450;3500;87230
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Red de enmalle fija continental;17500;130000;;;;;6300;72800;7000;52000;28350;64350;;
Amazonía;Caquetá;Curillo;Curillo;Atarraya;13090;114140;;;;;6510;26000;4200;20280;;;;
Amazonía;Caquetá;Curillo;Curillo;Línea de mano fija continental;8400;62530;3500;6500;;;3500;19500;2100;9100;2800;39000;6860;78000
Amazonía;Caquetá;Curillo;Curillo;Palangre calandrio;7000;62400;;;;;3500;21060;1400;11245;4200;52000;4900;46475
Amazonía;Caquetá;Curillo;Curillo;Red de enmalle de deriva continental;10500;37960;;;;;6300;23400;3780;13000;4270;11440;9310;38025
Amazonía;Caquetá;Curillo;Curillo;Red de enmalle fija continental;7420;41600;;;;;3500;18720;1400;10400;2800;27300;3010;24310
Amazonía;Caquetá;Florencia;Aparca;Arpón;21000;148720;;;;;6160;68900;2800;17940;;;14000;61100
Amazonía;Caquetá;Florencia;Aparca;Atarraya;4900;58500;4725;23725;10500;26000;7000;32500;2100;13000;;;10500;65000
Amazonía;Caquetá;Florencia;Aparca;Línea de mano fija continental;;;;;;;5600;10400;4200;7800;;;;
Amazonía;Caquetá;Florencia;Aparca;Palangre calandrio;;;;;;;25410;101010;3850;18850;;;24500;45500
Amazonía;Caquetá;Florencia;Aparca;Red de enmalle de deriva continental;25200;81640;;;;;14700;39000;2940;11960;;;14700;39000
Amazonía;Caquetá;Florencia;Aparca;Red de enmalle fija continental;18480;92300;;;;;10500;66950;2100;19500;;;14000;78000
Amazonía;Caquetá;Florencia;Puerto Arango;Atarraya;4900;58500;;;7175;19175;7000;28600;2100;7800;;;14000;52000
Amazonía;Caquetá;Florencia;Puerto Arango;Red de enmalle fija continental;22400;299260;;;;;13195;188500;4480;36400;;;35000;65000
Amazonía;Caquetá;La Montañita;Santuario;Arpón;7000;115700;;;10500;19500;3500;52000;1400;13000;;;8400;15600
Amazonía;Caquetá;La Montañita;Santuario;Atarraya;7000;104975;;;;;3500;49400;1400;13000;14350;38350;;
Amazonía;Caquetá;La Montañita;Santuario;Palangre calandrio;7000;130000;;;;;3500;45500;1400;16770;3500;50375;;
Amazonía;Caquetá;La Montañita;Santuario;Red de enmalle de deriva continental;10500;118950;;;;;7000;55250;1400;15600;;;;
Amazonía;Caquetá;La Montañita;Santuario;Red de enmalle fija continental;7000;32500;;;;;3500;20800;1400;8060;;;;
Amazonía;Caquetá;San Vicente Del Caguán;Puerto principal (San Vicente del Caguán);Atarraya;21000;104000;;;;;14000;52000;2800;13000;;;;
Amazonía;Caquetá;San Vicente Del Caguán;Puerto principal (San Vicente del Caguán);Línea de mano fija continental;18865;65000;;;;;7000;31200;2730;9100;;;;
Amazonía;Caquetá;San Vicente Del Caguán;Puerto principal (San Vicente del Caguán);Palangre calandrio;17500;62400;;;;;8400;31850;2590;11180;;;;
Amazonía;Caquetá;San Vicente Del Caguán;Puerto principal (San Vicente del Caguán);Red de enmalle de deriva continental;23590;78000;;;;;14000;42900;2800;13000;;;;
Amazonía;Caquetá;San Vicente Del Caguán;Puerto principal (San Vicente del Caguán);Red de enmalle fija continental;18375;95875;;;;;9800;49400;2800;10270;;;;
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Arpón;8820;37440;;;;;3640;39520;8400;15600;;;;
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Atarraya;5950;26000;;;;;3500;15600;16940;36140;10150;18850;18445;65845
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Línea de mano fija continental;5950;58500;;;77000;143000;3500;32500;5600;62595;11900;22100;5495;127725
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Palangre calandrio;6895;86450;;;8400;15600;3500;91000;12390;75400;;;14560;139360
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Recolección manual de mota;8400;58500;;;;;3500;84500;36050;336050;;;;
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Red de enmalle de deriva continental;12950;105950;;;;;4865;31265;4200;7800;;;;
Amazonía;Putumayo;Puerto Asís;Muelle Hong Kong;Red de enmalle fija continental;5950;60840;24150;343200;5670;116350;3500;45500;5600;109525;;;7840;161200
Amazonía;Putumayo;Puerto Asís;Muelle la esmeralda;Línea de mano fija continental;6405;19500;;;;;5670;12870;;;;;;
Amazonía;Putumayo;Puerto Asís;Muelle la esmeralda;Palangre calandrio;14980;247780;;;;;19302,5;248202,5;140000;260000;;;70000;130000
Amazonía;Putumayo;Puerto Asís;Muelle la esmeralda;Red de enmalle fija continental;6020;21450;;;;;4200;13000;;;;;;
Amazonía;Putumayo;Puerto Leguízamo;La Tagua;Línea de mano fija continental;4900;97175;;;;;13440;217100;157500;312000;3395;6500;;
Amazonía;Putumayo;Puerto Leguízamo;La Tagua;Palangre calandrio;4900;92690;;;;;4900;364000;6300;509600;3500;6500;4462,5;260000
Amazonía;Putumayo;Puerto Leguízamo;La Tagua;Red de enmalle fija continental;5250;117000;;;;;5600;380250;17850;552500;3500;6500;140000;260000
Amazonía;Putumayo;Puerto Leguízamo;Muelle Principal (Puerto Leguízamo);Línea de mano fija continental;9800;111800;2100;3900;;;19985;57070;21000;61750;;;;
Amazonía;Putumayo;Puerto Leguízamo;Muelle Principal (Puerto Leguízamo);Palangre calandrio;16800;205270;11760;39520;21000;39000;11060;123500;10500;117000;18200;51350;14000;311350
Amazonía;Putumayo;Puerto Leguízamo;Muelle Principal (Puerto Leguízamo);Red de enmalle de deriva continental;7700;66040;;;;;4900;35100;2100;39000;;;;
Amazonía;Putumayo;Puerto Leguízamo;Muelle Principal (Puerto Leguízamo);Red de enmalle fija continental;9800;144430;80675;623675;87500;747500;7245;104000;5880;117000;;;13125;195000
Amazonía;Putumayo;San Miguel;Río San Miguel;Arpón;3955;32565;;;;;3920;28600;;;;;;
Amazonía;Putumayo;San Miguel;Río San Miguel;Atarraya;2555;29770;;;;;2835;6435;;;;;;
Amazonía;Putumayo;San Miguel;Río San Miguel;Línea de mano fija continental;1400;52000;;;;;2765;31200;3500;6500;1400;13000;;
Amazonía;Putumayo;San Miguel;Río San Miguel;Red de enmalle de deriva continental;2800;31200;;;;;2800;24180;;;7000;13000;;
Amazonía;Putumayo;San Miguel;Río San Miguel;Red de enmalle fija continental;4200;33800;14000;26000;;;2800;26000;;;4200;14690;2240;4160
Amazonía;Vaupés;Mitú;Puerto de desembarco (Mitú);Arpón;7000;28600;;;;;3500;13000;;;;;3500;6500
Amazonía;Vaupés;Mitú;Puerto de desembarco (Mitú);Línea de mano fija continental;7000;26000;;;;;2800;7800;;;;;2800;11700
Amazonía;Vaupés;Mitú;Puerto de desembarco (Mitú);Nasas de Peces;14000;26000;;;;;2870;12350;;;;;;
Amazonía;Vaupés;Mitú;Puerto de desembarco (Mitú);No definido;14000;26000;;;;;2800;6370;;;;;;
