Cuenca/Litoral;Departamento;Municipio;Sitio desembarco;Método de pesca;Horas_trabajadas_inf;Horas_trabajadas_sup;Peso_total_inf;Peso_total_sup;Profundidad_inf;Profundidad_sup;Costo_total_inf;Costo_total_sup;Ingresos_inf;Ingresos_sup
Amazonía;Amazonas;La Pedrera;La Pedrera;Arpón;7,803250027;94,79925327;20,54499993;314,730003;1,4;8,125;23275;351585;106050;2055950
Amazonía;Amazonas;La Pedrera;La Pedrera;Atarraya;3,815;35,59139984;24,03800091;157,7680067;1,61;15,99;19138;89726;86310;372970
Amazonía;Amazonas;La Pedrera;La Pedrera;Línea de mano fija continental;8,05;70,56399841;14,90999947;123,5;2,1;10,4;22750;172640;71400;554450
Amazonía;Amazonas;La Pedrera;La Pedrera;Palangre calandrio;7,263199749;99,02099762;16,85600021;291,8759937;2,8;11,7;19208;289744;104160;1389440
Amazonía;Amazonas;La Pedrera;La Pedrera;Red de enmalle de deriva continental;7,276499987;121,6800005;19,6;515,775;2,1;19,5;26040;473070;110950;2664675
Amazonía;Amazonas;La Pedrera;La Pedrera;Red de enmalle fija continental;7,637000027;117,6890024;16,08600021;307,1640063;2,8;11,7;21686;386828;95200;1618240
Amazonía;Amazonas;Leticia;Bodega AZAFRA;Palangre calandrio;92,15499573;171,1449921;105,1399979;195,259996;3,5;6,5;12040;22360;10780;20020
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Flecha;42,7;79,3;302,4;561,6;;;140000;260000;1386000;2574000
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Línea de mano fija continental;5,74;21,97;5,831000147;104,5525012;2,8;5,2;0;43550;42885,5;681720
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Palangre calandrio;5,3375;125,385;8,707999907;120,0354988;1,4;7,8;29820;321750;66325;1066650
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Red de enmalle de deriva continental;3,15;79,3;25,2;158,340004;2,1;6,5;27300;234000;157500;1072500
Amazonía;Amazonas;Leticia;Puerto Principal (Leticia);Red de enmalle fija continental;2,8;55,705;7,070000267;129,5320012;2,1;6,5;0;195910;49000;1086800
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Atarraya;10,5;51,935;3,783500063;71,55199995;0,7;3,9;16800;129740;42731,5;737750
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Línea de mano fija continental;8,4;54,9575;3,18149997;87,60050179;1,4;7,8;13615;151385;56784;1421784
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Palangre calandrio;9,1;53,3;3,491600008;67,22299881;2,1;7,8;13160;143000;39858;1131383,5
Amazonía;Caquetá;Cartagena Del Chairá;Cartagena del Chairá;Red de enmalle fija continental;9,8;84,5;6,159999866;75,4;1,4;3,9;18900;234000;75880;1253070
Amazonía;Caquetá;Curillo;Curillo;Atarraya;9,299850035;23,14;7,693000174;92,1375;2,1;3,9;24045;144690;47579;694330
Amazonía;Caquetá;Curillo;Curillo;Línea de mano fija continental;9,1;21,8789999;2,309999967;59,63099936;2,1;7,8;19600;109200;44721,25;995751,25
Amazonía;Caquetá;Curillo;Curillo;Palangre calandrio;8,980999947;21,8789999;0;31,16360016;1,4;5,2;18900;123500;17500;457080
Amazonía;Caquetá;Curillo;Curillo;Red de enmalle de deriva continental;6,23;20,93;7;198,51;2,1;3,9;21000;92300;50624;1044810
Amazonía;Caquetá;Curillo;Curillo;Red de enmalle fija continental;8,75;20,15;1,05;47,68139835;1,4;5,2;7350;61165;14000;488852
Amazonía;Caquetá;Florencia;Aparca;Arpón;5,74;37,52840004;7,63;162,9680048;2,1;6,5;23520;267800;91910;2500992
Amazonía;Caquetá;Florencia;Aparca;Atarraya;4,9;17,3289999;4,703999987;65,9360006;1,4;9,1;15400;146900;48685;886944,5
Amazonía;Caquetá;Florencia;Aparca;Línea de mano fija continental;5,25;9,75;2,8;5,2;3,5;6,5;9800;18200;28000;52000
Amazonía;Caquetá;Florencia;Aparca;Palangre calandrio;3,085950003;15,28995009;1,155;40,755;3,5;6,5;58835;110435;277200;514800
Amazonía;Caquetá;Florencia;Aparca;Red de enmalle de deriva continental;5,830999947;19,80420002;10,99699989;95,14699921;2,24;6,24;58800;169780;178528;1264926
Amazonía;Caquetá;Florencia;Aparca;Red de enmalle fija continental;5,880700016;18,48340004;8,519700003;182,455;2,1;7,8;49560;223730;145215;2654756
Amazonía;Caquetá;Florencia;Puerto Arango;Atarraya;5,719000053;15,6;5,0225;58,89;1,4;6,5;31500;102180;48912,5;690950
Amazonía;Caquetá;Florencia;Puerto Arango;Red de enmalle fija continental;4,190200043;51,61259857;8,091999893;301,6;2,8;7,54;36960;511160;511287;3744000
Amazonía;Caquetá;La Montañita;Santuario;Arpón;3,85;20,15;6,3;82,68;1,82;6,5;11340;175500;73206;1309685
Amazonía;Caquetá;La Montañita;Santuario;Atarraya;4,128250027;34,04375;0;82,76450119;1,4;7,8;12950;164125;56000;1002157
