Cuenca o Litoral;Departamento;Municipio;Sitio de desembarco...10;Tipo de unidad;Especie;Peso_total_inf;Peso_total_sup;Precio_x_Kg_inf;Precio_x_Kg_sup;Numero_individuos_inf;Numero_individuos_sup;kg_ind_inf;kg_ind_sup
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Arapaima gigas;19,5545;109,304;6300;19500;1,4;6,5;7,17955;33,592
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma filamentosum;10,388;82,472;6300;19500;0,7;6,5;4,515;23,8472
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma juruense;14,686;55,822;4900;12610;8,47;30,94;1,190689394;2,487825758
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma platynemum;7,84;38,7205;5285;13000;1,4;16,445;2,056504545;7,7025
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma rousseauxii;10,1395;77,8635;6300;19500;0,7;7,8;5,635;20,97766667
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brachyplatystoma vaillantii;18,669;84,1945;4900;10205;10,535;53,04;0,959897059;2,394785714
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brycon amazonicus;11,34;60,216;5600;13000;20,86;112,84;0,312259245;0,779505848
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Brycon melanopterus;11,7845;54,015;4900;13000;27,475;158,21;0,203277986;0,570154181
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Cichla monoculus;12,88;23,92;7000;13000;22,4;41,6;0,4025;0,7475
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Colossoma macropomum;13,02;71,903;6300;19500;3,5;24,245;1,913582888;6,5169
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Leiarius marmoratus;10,878;73,918;4900;13000;7,42;35,36;1,064892157;3,015788043
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Leporinus friderici;25,41;47,19;5600;10400;54,6;101,4;0,325769231;0,605
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Myloplus asterias;9,31;17,29;7000;13000;30,1;55,9;0,216511628;0,402093023
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Mylossoma aureum;17,85;43,797;5600;10400;36,4;109,72;0,279479895;0,6975
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Osteoglossum bicirrhosum;14,21;26,39;7000;13000;7,7;14,3;1,291818182;2,399090909
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Phractocephalus hemioliopterus;9,212;46,8195;2800;11700;1,365;5,33;3,545208333;17,26075
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Piaractus brachypomus;14,672;46,748;5600;13000;9,8;30,94;1,01632;2,459639098
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pimelodus blochii;9,016;29,38;4900;10270;28,63;110,5;0,18684953;0,410551724
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pinirampus pirinampu;17,5525;75,4;4900;13000;9,8;51,35;1,01955814;2,6
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Platynematichthys notatus;18,8335;51,4735;5005;12805;10,01;25,61;1,315025;2,610167857
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Prochilodus nigricans;21,5495;51,3695;4935;10335;39,2;96,2;0,373948485;0,715039394
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pseudoplatystoma punctifer;9,94;85,215;4900;16900;2,1;29,9;1,354769231;8,504785714
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Pseudoplatystoma tigrinum;7,9625;46,4425;5600;16900;1,4;11,7;2,338777778;8,8101
Amazonía;Amazonas;La Pedrera;La Pedrera;MA;Zungaro zungaro;10,206;67,08;6300;16900;0,7;5,2;4,6375;23,452
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Arapaima gigas;24,318;234,182;6300;18720;1,4;10,4;6,0375;37,57
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Astronotus ocellatus;10,346;28,106;4900;9100;25,34;61,1;0,27394152;0,600347222
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma filamentosum;9,94;95,355;6300;19500;0,7;7,8;5,244166667;23,595
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma juruense;8,778;57,447;4900;13000;3,99;27,04;1,087545455;5,000914286
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma platynemum;5,292;68,224;4900;15340;0,7;34,58;1,177615385;9,165
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma rousseauxii;9,3975;95,6475;6300;19500;0,7;7,8;5,25875;23,375625
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma tigrinum;12,964;36,244;5005;12805;3,15;17,55;1,5065;5,689357143
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brachyplatystoma vaillantii;12,88;94,3475;4900;13000;8,33;56,03;0,973449013;2,552358124
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brycon amazonicus;11,452;86,086;5600;16900;19,95;131,625;0,298114035;0,934375
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Brycon melanopterus;8,82;55,12;4900;13000;19,53;124,93;0,221755538;0,685990148
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Calophysus macropterus;11,48;45,799;4900;13000;9,94;48,23;0,563929825;2,051666667
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Cichla monoculus;8,876;46,891;4900;13000;16,8;71,76;0,296844553;1,019005168
Amazonía;Amazonas;La Pedrera;La Pedrera;UEP;Colossoma macropomum;8,6415;78,3315;6300;19500;2,1;22,1;1,839833333;7,25075
